id,userId,groupId,rating,classExamId
1,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,173,18
2,81a899b3-7ea1-40c3-9445-59bf7d00f5d9,7,163,43
3,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,181,120
4,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,163,119
5,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,157,129
6,9851a2d4-6824-47b3-9414-f9ac5106b8dc,7,190,148
7,bfbc8fa7-79d5-4445-904c-b7744a075766,7,185,449
8,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,155,471
9,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,131,586
10,64f42bf1-0c9a-4bef-b8d3-c0185625cc50,7,189,610
11,a43e9084-4b8e-48e3-9b3b-8f3eec639ca4,7,187,625
12,cce5feab-14e5-4fec-99c5-141fe27d01ea,7,194,630
13,4a6a28de-c424-49aa-9c46-a87356c68a64,7,183,646
14,6c4fc59c-274c-46f5-b79a-686738d36e51,7,190,661
15,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,151,735
16,0d619879-ca91-440a-9261-0519b9dd258a,7,175,820
17,66e1f470-62a3-4c76-a0ee-d1781c734fb1,7,171,863
18,66e1f470-62a3-4c76-a0ee-d1781c734fb1,7,160,872
19,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,116,883
20,31d095d1-f060-4b78-beff-e928c4feb7e4,7,179,989
21,734d59b4-2906-4aab-8a53-a626d028ebf7,7,187,999
22,734d59b4-2906-4aab-8a53-a626d028ebf7,7,171,1001
23,69e7f01e-749a-4839-be99-0ace27c735d8,7,174,1006
24,8f11548b-3f90-4174-8ff2-989d3d51223c,7,169,1050
25,8f11548b-3f90-4174-8ff2-989d3d51223c,7,167,1051
26,5d3716f6-d4d6-4d75-9934-4d286d1dfc46,7,179,1106
27,5d3716f6-d4d6-4d75-9934-4d286d1dfc46,7,163,1114
28,5d3716f6-d4d6-4d75-9934-4d286d1dfc46,7,161,1140
29,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,164,1142
30,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,193,1143
31,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,211,1146
32,a43e9084-4b8e-48e3-9b3b-8f3eec639ca4,7,191,1144
33,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,196,1147
34,8f11548b-3f90-4174-8ff2-989d3d51223c,7,192,1138
35,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,217,1148
36,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,225,1149
37,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,233,1150
38,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,225,1151
39,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1152
40,0d619879-ca91-440a-9261-0519b9dd258a,7,209,1145
41,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1153
42,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,235,1154
43,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1156
44,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,229,1157
45,0d619879-ca91-440a-9261-0519b9dd258a,7,226,1155
46,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,237,1158
47,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,238,1159
48,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,237,1160
49,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,234,1161
50,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,237,1162
51,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,234,1163
52,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1164
53,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1165
54,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1166
55,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1167
56,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,232,1168
57,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,235,1169
58,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1170
59,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,227,1171
60,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,232,1172
61,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,236,1174
62,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,234,1175
63,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,215,1173
64,91f7ee49-8749-4f3e-b1c6-a4c66ab63c30,7,239,1176
65,4a6a28de-c424-49aa-9c46-a87356c68a64,7,192,1178
66,4a6a28de-c424-49aa-9c46-a87356c68a64,7,213,1179
67,23cb5641-11af-43a9-9ef1-ced126dc22b7,7,195,1177
68,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,223,1181
69,23cb5641-11af-43a9-9ef1-ced126dc22b7,7,206,1180
70,23cb5641-11af-43a9-9ef1-ced126dc22b7,7,213,1183
71,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,226,1182
72,23cb5641-11af-43a9-9ef1-ced126dc22b7,7,218,1184
73,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,221,1185
74,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,234,1186
75,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,227,1187
76,81a899b3-7ea1-40c3-9445-59bf7d00f5d9,7,195,1188
77,81a899b3-7ea1-40c3-9445-59bf7d00f5d9,7,211,1189
78,cce5feab-14e5-4fec-99c5-141fe27d01ea,7,207,1190
79,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,232,1191
80,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,236,1192
81,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,237,1193
82,7de4f4d4-e44c-45eb-b3c0-5a3f8f3a566d,7,221,1194
83,6c4fc59c-274c-46f5-b79a-686738d36e51,7,197,1195
84,6c4fc59c-274c-46f5-b79a-686738d36e51,7,196,1196
85,6c4fc59c-274c-46f5-b79a-686738d36e51,7,193,1197
86,6c4fc59c-274c-46f5-b79a-686738d36e51,7,205,1198
87,6c4fc59c-274c-46f5-b79a-686738d36e51,7,211,1199
88,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,162,1200
89,a96fd13e-b5cc-4f03-b76e-88ab334199ec,7,203,1201
90,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,171,1203
91,4a6a28de-c424-49aa-9c46-a87356c68a64,7,216,1202
92,a96fd13e-b5cc-4f03-b76e-88ab334199ec,7,199,1204
93,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,167,1205
94,1c69577b-6621-4a4e-8f60-77fa1f243ea2,7,173,1206
